cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,4,4096,2048,ck,7,0,8.3006,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.08,1015.54,0.0
256,4,4096,4096,ck,7,0,12.5586,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.69,1339.83,0.0
256,4,4096,8192,ck,7,0,23.3798,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.48,1437.99,0.0
256,8,4096,1024,ck,7,0,5.3754,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.48,793.99,0.0
256,8,4096,2048,ck,7,0,7.8003,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,17.21,1085.92,0.0
256,8,4096,4096,ck,7,0,12.5781,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,21.34,1341.66,0.0
256,8,4096,8192,ck,7,0,23.5614,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,22.79,1429.69,0.0
256,16,4096,1024,ck,7,0,5.359,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,25.05,810.18,0.0
256,16,4096,2048,ck,7,0,7.5529,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,35.54,1132.34,0.0
256,16,4096,4096,ck,7,0,11.6041,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,46.27,1462.74,0.0
256,16,4096,8192,ck,7,0,21.0936,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,50.9,1603.17,0.0
256,32,4096,1024,ck,7,0,5.554,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,48.33,808.29,0.0
256,32,4096,2048,ck,12,0,7.9451,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,67.57,1097.06,0.0
256,32,4096,4096,ck,7,0,11.5906,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,92.64,1481.41,0.0
256,32,4096,8192,ck,7,0,21.1951,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,101.32,1607.86,0.0
256,64,4096,1024,ck,7,0,5.5953,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,95.95,855.03,0.0
256,64,4096,2048,ck,12,0,8.1591,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,131.6,1108.45,0.0
256,64,4096,4096,ck,7,0,11.5495,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,185.94,1520.73,0.0
256,64,4096,8192,ck,7,0,20.9352,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,205.16,1652.86,0.0
256,128,4096,1024,ck,7,0,5.931,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,181.04,906.08,0.0
256,128,4096,2048,ck,7,0,8.2206,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,261.23,1179.88,0.0
256,128,4096,4096,ck,12,0,12.5223,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,342.99,1465.39,0.0
256,128,4096,8192,ck,12,0,22.6226,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,379.71,1575.93,0.0
256,256,4096,1024,ck,12,0,7.0456,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,304.8,930.17,0.0
256,256,4096,2048,ck,17,0,9.8651,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,435.37,1116.06,0.0
256,256,4096,4096,ck,17,0,14.9257,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,575.51,1334.81,0.0
256,256,4096,8192,ck,17,0,27.0469,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,635.19,1395.68,0.0
256,512,4096,1024,ck,2,0,9.3277,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,460.45,955.53,0.0
256,512,4096,2048,ck,17,0,14.1533,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,606.92,963.13,0.0
256,512,4096,4096,ck,14,0,23.4392,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,732.95,984.19,0.0
256,512,4096,8192,ck,17,0,45.8497,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,749.4,914.79,0.0
256,1024,4096,1024,ck,14,0,13.6119,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,631.06,1001.44,0.0
256,1024,4096,2048,ck,14,0,20.2828,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,847.02,930.56,0.0003
256,1024,4096,4096,ck,13,0,34.5604,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,994.19,849.53,0.0
256,1024,4096,8192,ck,13,0,65.123,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1055.23,772.87,0.0
256,2048,4096,1024,cktile,10,0,21.2952,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,806.75,1083.28,0.0
256,2048,4096,2048,ck,13,0,32.9164,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1043.85,891.96,0.0
256,2048,4096,4096,ck,13,0,58.305,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1178.62,719.37,0.0
256,2048,4096,8192,cktile,11,0,101.1121,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1359.27,663.71,0.0
256,4096,4096,1024,cktile,10,0,40.452,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,849.4,1036.86,0.0
256,4096,4096,2048,cktile,10,0,65.285,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,1052.61,770.95,0.0
256,4096,4096,4096,ck,13,0,110.1621,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1247.61,609.18,0.0
256,4096,4096,8192,ck,13,0,195.9346,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1402.91,513.76,0.0
256,8192,4096,1024,cktile,10,0,75.5894,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,909.12,1054.27,0.0
